ticket,deck,cabin,pclass,fare_per_person,family_size
AQ/3. 30631,-1,,3.0,7.7333,1
19943,2,C93,1.0,45.0,2
239865,-1,,2.0,26.0,1
28221,-1,,2.0,13.0,1
8471,-1,,3.0,8.3625,1
17764,0,A7,1.0,30.6958,1
347073,-1,,3.0,7.75,1
250653,-1,,2.0,13.0,1
350045,-1,,3.0,7.7958,1
31027,-1,,2.0,10.5,2
349205,-1,,3.0,7.8958,1
1601,-1,,3.0,56.4958,1
A/5 21171,-1,,3.0,3.625,2
345780,-1,,3.0,9.5,1
350026,-1,,3.0,7.05415,2
345767,-1,,3.0,9.0,1
111361,1,B18,1.0,28.9896,2
2627,-1,,3.0,14.4583,1
13236,2,C28,1.0,28.875,2
349909,-1,,3.0,4.215,5
S.O.P. 1166,-1,,2.0,12.525,1
347054,6,G6,3.0,5.23125,2
PC 17318,-1,,1.0,25.925,1
230080,5,F2,2.0,8.666666666666666,3
P/PP 3381,-1,,2.0,12.0,2
349225,-1,,3.0,7.8958,1
2657,-1,,3.0,7.2292,1
A.5. 3236,-1,,3.0,8.05,1
349217,-1,,3.0,7.8958,1
3101295,-1,,3.0,6.614583333333333,6
PC 17562,3,D43,1.0,27.7208,1
113028,2,C124,1.0,26.55,1
14312,-1,,3.0,7.75,1
11755,0,A16,1.0,19.8,2
7534,-1,,3.0,9.8458,1
386525,-1,,3.0,8.05,2
C.A. 29395,5,F33,2.0,10.5,1
345778,-1,,3.0,9.5,1
111369,2,C148,1.0,30.0,1
234686,-1,,2.0,13.0,1
C.A. 37671,-1,,3.0,5.3,3
347464,-1,,3.0,7.8542,1
349214,-1,,3.0,7.8958,1
392091,-1,,3.0,4.675,2
343271,-1,,3.0,7.0,1
230136,5,F4,2.0,9.75,4
248727,-1,,2.0,16.5,2
347065,-1,,3.0,7.775,1
693,-1,,1.0,26.0,1
PC 17604,-1,,1.0,41.0854,2
349234,-1,,3.0,7.8958,1
2697,-1,,3.0,7.2292,1
33638,0,A34,1.0,27.2861,3
2641,-1,,3.0,7.2292,1
PC 17594,0,A9,1.0,29.7,1
382652,-1,,3.0,4.854166666666667,6
113572,1,B28,1.0,80.0,1
315087,-1,,3.0,8.6625,1
PC 17599,2,C85,1.0,35.64165,2
F.C.C. 13529,-1,,2.0,8.75,3
7545,-1,,3.0,9.4833,1
11767,2,C54,1.0,83.1583,1
5727,4,E58,1.0,25.5875,1
362316,-1,,3.0,7.25,1
2670,-1,,3.0,7.225,1
2674,-1,,3.0,7.225,1
CA 31352,-1,,2.0,21.0,1
29105,-1,,2.0,5.75,4
364858,-1,,3.0,7.75,1
PC 17592,3,D28,1.0,19.7,2
21228,1,B45,1.0,41.13335,2
3101295,-1,,3.0,6.614583333333333,6
350047,-1,,3.0,7.8542,1
PC 17760,-1,,1.0,135.6333,1
235509,-1,,2.0,12.35,1
A/5. 851,-1,,3.0,4.833333333333333,3
C.A. 33112,-1,,2.0,36.75,1
PC 17485,4,E36,1.0,56.9292,1
349911,-1,,3.0,7.775,1
CA. 2343,-1,,3.0,6.322727272727272,11
364851,-1,,3.0,7.75,1
349219,-1,,3.0,7.8958,1
237736,-1,,2.0,15.0354,2
347466,-1,,3.0,7.8542,1
350404,-1,,3.0,2.6180666666666665,3
SOTON/O.Q. 3101315,-1,,3.0,4.591666666666667,3
4136,-1,,3.0,4.9125,2
STON/O 2. 3101293,-1,,3.0,7.925,1
113803,2,C123,1.0,26.55,2
2675,-1,,3.0,2.409733333333333,3
CA 2144,-1,,3.0,5.8625,8
19950,2,C23 C25 C27,1.0,43.833333333333336,6
239855,-1,,2.0,0.0,1
315090,-1,,3.0,8.6625,1
3101295,-1,,3.0,6.614583333333333,6
113760,1,B96 B98,1.0,30.0,4
C.A. 2673,-1,,3.0,6.75,3
349912,-1,,3.0,7.775,1
CA 2144,-1,,3.0,5.8625,8
PC 17611,-1,,1.0,44.550000000000004,3
3101278,-1,,3.0,3.9625,4
349218,-1,,3.0,7.8958,1
323951,-1,,3.0,8.05,1
PC 17531,0,A29,1.0,31.6792,1
349237,-1,,3.0,8.9,2
SC/AH 29037,-1,,2.0,13.0,2
13695,2,C31,1.0,30.0,2
3101278,-1,,3.0,7.925,2
335677,-1,,3.0,7.75,1
315153,-1,,3.0,4.404999999999999,5
SOTON/O.Q. 3101263,-1,,3.0,7.85,1
2676,-1,,3.0,7.225,1
113798,-1,,1.0,31.0,1
248733,5,F33,2.0,13.0,1
2665,-1,,3.0,7.2271,2
349220,-1,,3.0,7.8958,1
315088,-1,,3.0,8.6625,1
110152,1,B79,1.0,86.5,1
11767,2,C54,1.0,41.57915,2
113781,2,C22 C26,1.0,37.8875,4
2223,-1,,3.0,8.3,1
233639,-1,,2.0,13.0,1
113059,-1,,1.0,47.1,1
13507,4,E44,1.0,27.95,2
36209,-1,,3.0,7.725,1
S.O.C. 14879,-1,,2.0,24.5,3
315096,-1,,3.0,8.6625,1
336439,-1,,3.0,7.75,1
3101276,-1,,3.0,2.6416666666666666,3
A.5. 11206,-1,,3.0,8.05,1
364512,-1,,3.0,8.05,1
110813,3,D37,1.0,37.625,2
230136,5,F4,2.0,9.75,4
364506,-1,,3.0,8.05,1
113503,2,C82,1.0,70.5,3
36973,2,C83,1.0,41.7375,2
13567,1,B41,1.0,26.400000000000002,3
335432,-1,,3.0,7.7333,1
11668,-1,,2.0,10.5,2
315084,-1,,3.0,8.6625,1
2663,-1,,3.0,7.2292,1
PC 17755,1,B51 B53 B55,1.0,256.1646,2
A/5. 2151,-1,,3.0,8.05,1
4133,-1,,3.0,5.0933399999999995,5
330972,-1,,3.0,7.6292,1
350036,-1,,3.0,7.7958,1
21440,-1,,3.0,8.05,1
236853,-1,,2.0,13.0,2
2650,-1,,3.0,5.081933333333333,3
PC 17593,1,B82 B84,1.0,79.2,1
233734,-1,,2.0,12.35,1
SOTON/O.Q. 3101305,-1,,3.0,7.05,1
330971,-1,,3.0,7.8792,1
2687,-1,,3.0,7.2292,1
28220,-1,,2.0,10.833333333333334,3
240276,-1,,2.0,9.6875,1
2673,-1,,3.0,7.2292,1
19947,2,C52,1.0,35.5,1
13050,2,C6,1.0,75.2417,1
364849,-1,,3.0,5.166666666666667,3
PC 17608,-1,,1.0,262.375,1
SOTON/O.Q. 3101306,-1,,3.0,7.05,1
W./C. 6607,-1,,3.0,5.8625,4
234360,-1,,2.0,13.0,1
CA 2144,-1,,3.0,5.8625,8
CA. 2343,-1,,3.0,6.322727272727272,11
2926,-1,,2.0,13.0,2
12460,-1,,3.0,7.75,1
14973,-1,,3.0,8.05,1
3101298,-1,,3.0,6.14375,2
250647,-1,,2.0,13.0,1
345572,-1,,3.0,8.7,2
LP 1588,-1,,3.0,7.575,1
2653,-1,,3.0,5.247233333333333,3
113054,0,A21,1.0,30.5,1
17464,3,D21,1.0,25.93125,2
110152,1,B77,1.0,86.5,1
W./C. 6608,-1,,3.0,6.875,5
2662,-1,,3.0,7.226400000000001,3
345498,-1,,3.0,7.775,1
347079,-1,,3.0,7.775,1
347072,-1,,3.0,6.95,2
SC/AH 3085,-1,,2.0,13.0,2
12749,1,B69,1.0,31.166666666666668,3
370371,-1,,3.0,7.75,2
374887,-1,,3.0,7.25,1
3101281,-1,,3.0,1.1321428571428571,7
54636,-1,,3.0,16.1,1
220845,-1,,2.0,65.0,1
376564,-1,,3.0,8.05,2
PC 17558,1,B58 B60,1.0,123.7604,2
113803,2,C123,1.0,26.55,2
2660,-1,,3.0,7.2271,2
347469,-1,,3.0,7.8542,1
SOTON/OQ 3101316,-1,,3.0,8.05,1
13502,3,D9,1.0,77.9583,1
364850,-1,,3.0,7.75,1
350416,-1,,3.0,7.8542,1
SOTON/O2 3101284,-1,,3.0,7.925,1
24160,-1,,1.0,211.3375,1
36967,3,D46,1.0,34.0208,1
28228,-1,,2.0,13.0,1
SOTON/O.Q. 392078,4,E10,3.0,8.05,1
Fa 265302,-1,,3.0,7.3125,1
244368,5,F2,2.0,13.0,1
250651,-1,,2.0,8.666666666666666,3
17463,4,E46,1.0,51.8625,1
PC 17558,1,B58 B60,1.0,123.7604,2
230434,-1,,2.0,13.0,1
2666,-1,,3.0,4.814575,4
7267,-1,,3.0,9.225,1
349233,-1,,3.0,7.8958,1
349909,-1,,3.0,4.215,5
STON/O 2. 3101292,-1,,3.0,7.925,1
SOTON/OQ 392089,-1,,3.0,8.05,1
PC 17605,-1,,1.0,27.7208,1
367232,-1,,3.0,7.75,1
12749,1,B24,1.0,93.5,1
11967,1,B49,1.0,45.5396,2
220845,-1,,2.0,16.25,4
345765,-1,,3.0,9.0,1
PC 17758,2,C65,1.0,54.45,2
111427,-1,,1.0,26.55,1
347080,-1,,3.0,4.8,3
347078,-1,,3.0,7.75,1
226593,4,E101,2.0,12.35,1
347083,-1,,3.0,3.8875,2
2688,-1,,3.0,7.2292,1
347471,-1,,3.0,7.8542,1
392092,-1,,3.0,8.05,1
347077,-1,,3.0,4.483928571428572,7
315092,-1,,3.0,8.6625,1
2665,-1,,3.0,7.2271,2
PP 9549,6,G6,3.0,5.566666666666666,3
364859,-1,,3.0,7.75,1
111361,1,B18,1.0,28.9896,2
4133,-1,,3.0,5.0933399999999995,5
363291,-1,,3.0,6.841666666666666,3
SOTON/O.Q. 3101315,-1,,3.0,4.591666666666667,3
STON/O2. 3101270,-1,,3.0,3.9625,2
350053,-1,,3.0,7.7958,1
16988,3,D45,1.0,30.0,1
C.A. 6212,-1,,3.0,15.1,1
250655,-1,,2.0,26.0,1
349909,-1,,3.0,4.215,5
PC 17757,2,C45,1.0,227.525,1
228414,-1,,2.0,13.0,2
A/5 3594,-1,,3.0,8.05,1
113059,-1,,1.0,47.1,1
PC 17572,3,D49,1.0,76.7292,1
29751,-1,,2.0,13.0,1
19928,2,C78,1.0,45.0,2
2659,-1,,3.0,7.2271,2
11769,2,C101,1.0,17.15973333333333,3
343095,-1,,3.0,8.05,1
347066,-1,,3.0,7.775,1
26707,-1,,2.0,13.0,2
PC 17608,1,B57 B59 B63 B66,1.0,52.475,5
LINE,-1,,3.0,0.0,1
382652,-1,,3.0,4.854166666666667,6
349240,-1,,3.0,7.8958,1
7538,-1,,3.0,9.225,1
347082,-1,,3.0,4.4678571428571425,7
28425,-1,,2.0,13.0,1
315082,-1,,3.0,7.875,1
13507,4,E44,1.0,27.95,2
112059,1,B94,1.0,0.0,1
219533,-1,,2.0,12.35,1
347077,-1,,3.0,4.483928571428572,7
315154,-1,,3.0,8.6625,1
STON/O 2. 3101269,-1,,3.0,7.925,1
29106,-1,,2.0,3.125,6
2660,-1,,3.0,7.2271,2
SC/AH 3085,-1,,2.0,13.0,2
7266,-1,,3.0,9.325,1
PC 17572,3,D33,1.0,38.3646,2
SC/PARIS 2148,-1,,2.0,6.92915,2
4133,-1,,3.0,5.0933399999999995,5
STON/O 2. 3101288,-1,,3.0,7.925,1
2666,-1,,3.0,4.814575,4
C.A. 31029,-1,,2.0,10.5,3
112377,-1,,1.0,27.7208,1
C 7076,-1,,3.0,7.25,1
11765,4,E50,1.0,27.72085,2
349203,-1,,3.0,7.8958,1
350403,-1,,3.0,7.5792,1
113773,3,D30,1.0,26.55,2
350050,-1,,3.0,7.8542,1
113514,2,C87,1.0,26.55,1
19996,2,C126,1.0,26.0,2
PP 9549,6,G6,3.0,5.566666666666666,3
28220,-1,,2.0,10.833333333333334,3
13568,1,B39,1.0,16.5,3
PC 17473,4,E25,1.0,26.2875,1
376563,-1,,3.0,8.05,1
PC 17603,-1,,1.0,29.7,2
2684,-1,,3.0,7.225,1
347054,6,G6,3.0,3.4875000000000003,3
239853,-1,,2.0,0.0,1
394140,-1,,3.0,6.8583,1
F.C. 12998,-1,,1.0,25.7417,1
347077,-1,,3.0,4.483928571428572,7
113781,2,C22 C26,1.0,37.8875,4
19950,2,C23 C25 C27,1.0,43.833333333333336,6
315091,-1,,3.0,8.6625,1
349216,-1,,3.0,7.8958,1
347067,-1,,3.0,7.775,1
A/5. 3337,-1,,3.0,7.25,2
CA. 2343,-1,,3.0,6.322727272727272,11
248706,-1,,2.0,16.0,1
65305,-1,,3.0,8.1125,1
349248,-1,,3.0,7.8958,1
345779,-1,,3.0,9.5,1
PC 17597,-1,,1.0,30.6896,2
2692,-1,,3.0,7.225,1
367231,-1,,3.0,7.75,1
1601,-1,,3.0,56.4958,1
347082,-1,,3.0,4.4678571428571425,7
347082,-1,,3.0,4.4678571428571425,7
345763,-1,,3.0,9.0,2
347088,-1,,3.0,4.6499999999999995,6
2631,-1,,3.0,7.225,1
350054,-1,,3.0,7.7958,1
370368,-1,,3.0,7.75,1
244358,-1,,2.0,26.0,1
2678,-1,,3.0,5.081933333333333,3
F.C.C. 13528,-1,,2.0,21.0,1
3411,-1,,3.0,8.7125,1
SC/PARIS 2146,-1,,2.0,13.8625,1
363611,-1,,3.0,8.05,1
26360,-1,,2.0,8.666666666666666,3
347080,-1,,3.0,4.8,3
347088,-1,,3.0,4.6499999999999995,6
C.A. 34260,5,F33,2.0,10.5,1
33638,0,A34,1.0,27.2861,3
349211,-1,,3.0,7.8958,1
28206,-1,,2.0,10.5,1
7598,-1,,3.0,8.05,1
349243,-1,,3.0,7.8958,1
7540,-1,,3.0,8.6542,1
374746,-1,,3.0,8.05,1
19928,2,C78,1.0,30.0,3
SC/PARIS 2167,-1,,2.0,13.8604,2
364516,-1,,3.0,12.475,1
STON/O2. 3101283,-1,,3.0,7.925,1
28403,-1,,2.0,26.0,1
349250,-1,,3.0,7.8958,1
SOTON/OQ 392082,-1,,3.0,8.05,1
371110,-1,,3.0,12.075,2
347077,-1,,3.0,4.483928571428572,7
392091,-1,,3.0,4.675,2
2683,-1,,3.0,6.4375,1
370373,-1,,3.0,7.75,1
364849,-1,,3.0,5.166666666666667,3
PC 17761,2,C86,1.0,53.2125,2
365235,-1,,3.0,7.75,1
2926,-1,,2.0,13.0,2
250644,-1,,2.0,9.75,2
370365,-1,,3.0,7.75,2
2651,-1,,3.0,5.62085,2
367227,-1,,3.0,3.875,2
368702,-1,,3.0,7.75,1
13050,2,C6,1.0,75.2417,1
17453,2,C92,1.0,44.5521,2
A./5. 3338,-1,,3.0,8.05,1
112379,-1,,1.0,39.6,1
345501,-1,,3.0,7.775,1
12749,1,B73,1.0,93.5,1
C.A. 31921,-1,,2.0,8.75,3
17466,3,D17,1.0,25.9292,1
C.A. 30769,-1,,2.0,10.5,1
SC/PARIS 2167,-1,,2.0,13.8604,2
C.A. 34651,-1,,2.0,6.9375,4
383162,-1,,3.0,7.75,1
350407,-1,,3.0,7.8542,1
2696,-1,,3.0,7.225,1
A/5. 3337,-1,,3.0,7.25,2
SC/PARIS 2166,3,D38,2.0,13.8625,1
113806,4,E8,1.0,26.55,2
27042,0,A23,1.0,30.0,1
CA. 2343,-1,,3.0,6.322727272727272,11
STON/O 2. 3101289,-1,,3.0,7.925,1
S.C./PARIS 2079,-1,,2.0,12.334733333333332,3
C.A. 31921,-1,,2.0,8.75,3
PC 17592,3,D28,1.0,19.7,2
C.A. 2315,-1,,3.0,5.14375,4
11752,3,D47,1.0,8.7611,3
2690,-1,,3.0,2.409733333333333,3
364856,-1,,3.0,7.75,1
STON/O2. 3101271,-1,,3.0,3.9625,2
2908,-1,,2.0,13.0,2
A/5 3540,-1,,3.0,8.05,1
17421,2,C70,1.0,36.9611,3
368703,-1,,3.0,7.75,1
24065,-1,,2.0,13.0,2
358585,-1,,3.0,14.5,1
113056,0,A19,1.0,26.0,1
349213,-1,,3.0,7.8958,1
17463,4,E46,1.0,51.8625,1
13502,3,D11,1.0,38.97915,2
349230,-1,,3.0,7.8958,1
SC/PARIS 2149,-1,,2.0,6.92915,2
364846,-1,,3.0,7.75,1
347076,-1,,3.0,3.8875,2
C.A. 29178,-1,,2.0,13.0,1
349207,-1,,3.0,7.8958,1
392096,4,E121,3.0,6.2375,2
3101295,-1,,3.0,6.614583333333333,6
13509,4,E38,1.0,26.55,1
110489,3,D22,1.0,26.55,1
2686,-1,,3.0,7.2292,1
29011,-1,,2.0,14.0,1
3101266,-1,,3.0,3.2479,2
17474,1,B20,1.0,28.5,2
347062,-1,,3.0,7.775,1
31418,-1,,2.0,13.0,1
370376,-1,,3.0,7.75,1
113767,0,A32,1.0,50.0,1
19877,-1,,1.0,78.85,1
113795,-1,,1.0,26.55,1
C.A. 5547,-1,,3.0,7.55,1
C.A. 33112,-1,,2.0,12.25,3
PC 17600,-1,,1.0,30.6958,1
349236,-1,,3.0,8.85,1
11751,3,D35,1.0,17.518066666666666,3
347077,-1,,3.0,4.483928571428572,7
S.C./A.4. 23567,-1,,3.0,8.05,1
CA 2144,-1,,3.0,5.8625,8
345773,-1,,3.0,8.049999999999999,3
234818,-1,,2.0,12.35,1
345764,-1,,3.0,6.0,3
334914,-1,,3.0,7.725,1
4133,-1,,3.0,5.0933399999999995,5
113501,3,D6,1.0,30.0,1
A/5. 3336,-1,,3.0,8.05,2
315089,-1,,3.0,8.6625,1
S.O./P.P. 3,-1,,2.0,10.5,1
C 17368,-1,,3.0,1.5854,2
C.A. 18723,-1,,2.0,10.5,1
370375,-1,,3.0,7.75,1
347080,-1,,3.0,4.8,3
PC 17608,1,B57 B59 B63 B66,1.0,52.475,5
11751,3,D35,1.0,17.518066666666666,3
243847,-1,,2.0,13.5,2
2662,-1,,3.0,7.226400000000001,3
PC 17569,1,B78,1.0,73.2604,2
4133,-1,,3.0,5.0933399999999995,5
384461,-1,,3.0,7.75,1
C.A. 33112,-1,,2.0,12.25,3
1601,-1,,3.0,56.4958,1
248698,3,D56,2.0,13.0,1
A/5 21172,-1,,3.0,7.25,1
112378,-1,,1.0,29.7,2
370377,-1,,3.0,7.75,1
2668,-1,,3.0,7.452766666666666,3
113804,-1,,1.0,30.5,1
244346,-1,,2.0,13.0,1
350033,-1,,3.0,7.7958,1
244367,-1,,2.0,13.0,2
PC 17611,-1,,1.0,66.825,2
36568,-1,,3.0,15.5,1
330909,-1,,3.0,7.6292,1
347087,-1,,3.0,7.775,1
54636,-1,,3.0,16.1,1
STON/O2. 3101282,-1,,3.0,7.925,1
349245,-1,,3.0,7.8958,1
